,Unnamed: 0,cell id,Cell Type,PN_A Convergence,PN_C Convergence,SOM Convergence,PV Convergence,Total Exc Convergence,Total Inh Convergence,Net Exc,net Exc only PV,Total number of connections,tone ampa,bg ampa,PN ampa,tone nmda,bg nmda,PN nmda,PV gaba,SOM gaba,Hz
243,243,243,PN Type A Cell,215,91,145,198,306,343,-37,108,649,-137.88903868809112,-114.23616683111463,-0.8261659928545435,-51.62045283857631,-49.88090227706237,-0.3907061265629274,0.9618290230308907,1.2830978673937736,0.2
248,248,248,PN Type A Cell,188,85,152,192,273,344,-71,81,617,-97.6954938530485,-116.9312444092032,-0.7985768292433226,-39.86642482290405,-49.69659028893908,-0.3419608283246829,3.1798357017281633,38.21283284565068,0.2
269,269,269,PN Type A Cell,190,88,138,191,278,329,-51,87,607,-109.38832551003512,-164.002234588613,-0.4369801536769512,-39.29515807937967,-78.36849295099039,-0.18240037631862688,1.0724117495987342,16.52888943085699,0.8
274,274,274,PN Type A Cell,196,87,158,181,283,339,-56,102,622,-185.45882173534184,-90.10299188172013,-0.48003582788724286,-57.580439299550946,-40.45343861092165,-0.1967178151228434,4.674977527560465,13.07084108225911,0.2
278,278,278,PN Type A Cell,219,73,159,180,292,339,-47,112,631,-83.64085605517923,-129.29447288052594,-0.6387434873641352,-29.583486477413498,-56.206661284881775,-0.2594678444421353,5.435142055456642,0.5663597556576514,0.6
295,295,295,PN Type A Cell,220,80,138,188,300,326,-26,112,626,-94.75359273091813,-134.84187605446454,-0.4379581333729177,-39.04944327304615,-61.59308192059552,-0.17724976907941828,10.71742224939069,0.8881996793356818,0.6
297,297,297,PN Type A Cell,189,77,152,192,266,344,-78,74,610,-69.44422025195556,-62.6270281662738,-1.6196563161014075,-26.457663235213232,-26.677384696723866,-0.6343374955956482,3.0472368840029085,10.22841717254269,
311,311,311,PN Type A Cell,205,91,170,209,296,379,-83,87,675,-106.7557106747066,-104.46588594312725,-0.7679655750234111,-38.776914675690534,-46.41384610349747,-0.29788266790891244,5.067238282040132,6.596043831202754,0.8
367,367,367,PN Type A Cell,194,93,135,217,287,352,-65,70,639,-86.43906155034463,-116.71174008032388,-1.3834786460012172,-32.55602954772593,-55.313616881905084,-0.5246302117910434,4.883690481075885,0.8170460681454941,0.6
410,410,410,PN Type A Cell,238,80,147,198,318,345,-27,120,663,-128.70188142607503,-143.6293674921609,-1.1464950058988175,-50.642419964647154,-74.63952850986537,-0.44292748021399253,4.470377924271282,21.758851113437576,0.6
438,438,438,PN Type A Cell,193,93,145,192,286,337,-51,94,623,-213.99854358899063,-121.23243205973033,-0.19941335435219307,-73.7493280239093,-59.64309753357541,-0.0863817708723482,3.4228105484574263,5.599870425055261,0.6
439,439,439,PN Type A Cell,204,73,153,205,277,358,-81,72,635,-105.61673876835863,-86.29330544770704,-0.6968456797539827,-34.81528225898985,-40.26074966040191,-0.2824491415404973,3.4247574315798373,9.570211119431635,
449,449,449,PN Type A Cell,208,84,152,185,292,337,-45,107,629,-77.740473899794,-156.7995204909122,-0.6056876979475853,-29.144376193396084,-63.59767379234884,-0.24132718265676445,5.134764878890751,4.293696834962688,0.2
481,481,481,PN Type A Cell,205,87,149,208,292,357,-65,84,649,-135.95160750021648,-104.97621062864624,-0.3407801262059715,-46.945734570565705,-48.49811598781652,-0.13595336290328144,6.8318293276711755,0.9073273985104325,0.4
490,490,490,PN Type A Cell,201,70,144,219,271,363,-92,52,634,-39.67936549916228,-127.62471855587677,-0.5619222416068269,-13.143386885472397,-53.88881904919309,-0.23823981631800786,3.1545525317080076,13.155386523955126,1.0
514,514,514,PN Type A Cell,216,70,146,189,286,335,-49,97,621,-117.98159549887097,-66.1948749075845,-0.5611153425133857,-43.731660514545176,-29.537706013151094,-0.24555035307376386,4.216750577225438,0.6181607508257965,
525,525,525,PN Type A Cell,190,90,146,193,280,339,-59,87,619,-140.66231318522773,-107.97098930866588,-1.2093289103298042,-51.93076490663749,-50.093253571513955,-0.4851182801794629,4.7634695709370325,10.453344945702375,0.4
570,570,570,PN Type A Cell,211,89,153,181,300,334,-34,119,634,-82.09900571781981,-103.86257009255831,-0.34248738053670236,-30.509883892117557,-45.43134797161608,-0.1571303294273975,6.080552387860252,0.824190569077766,0.4
579,579,579,PN Type A Cell,205,80,146,201,285,347,-62,84,632,-104.69586415991652,-127.56218194265612,-0.9738882744436785,-42.223493180021215,-54.09768776813561,-0.42937231969494505,4.512325698960244,31.758316726794554,0.2
608,608,608,PN Type A Cell,212,80,146,191,292,337,-45,101,629,-103.7579262725426,-108.72108450345702,-0.5842704612513149,-33.39448901201095,-49.70731409354555,-0.2431907961332211,4.246950350374555,7.26246212007676,0.2
620,620,620,PN Type A Cell,211,75,164,192,286,356,-70,94,642,-101.7393055526282,-105.76455831603431,-1.0471244609667483,-35.42853393535765,-48.93400795151383,-0.43666022142000627,2.4097195238418156,17.855433509103968,0.6
666,666,666,PN Type A Cell,195,89,156,190,284,346,-62,94,630,-114.23947326200889,-122.32753707946918,-0.5482955278025371,-40.2633685188809,-64.59388969507361,-0.22017077618518283,3.7913842325414024,8.423254308046618,1.2
699,699,699,PN Type A Cell,205,82,155,210,287,365,-78,77,652,-43.288024296147974,-92.24070116609376,-0.25528930301157526,-16.346689300598698,-38.79570999319547,-0.10089679823459638,2.938422918006999,0.5722648537769739,
709,709,709,PN Type A Cell,233,82,157,202,315,359,-44,113,674,-111.55508506684296,-97.42538440966187,-0.2841434716245328,-39.98850505462751,-40.20008215609383,-0.114705733989891,5.645612801337252,0.5474206249026737,
710,710,710,PN Type A Cell,183,89,148,190,272,338,-66,82,610,-97.31697893221835,-53.26503554627213,-3.289084220912268,-31.85327007019318,-21.61364827166511,-1.2568954793483726,3.347897434952957,27.077109640724874,
